workerid,proliferate.condition,content,contentNr,fact,fact_type,probe_text,question,response,rt,slide_number_in_experiment,speakerGender,speakerName,subjectGender,subjectName,trigger_class,utterance,verb,catch_trials,subject_information.age,subject_information.american,subject_information.assess,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
26,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,NA,control2,0,9182,4,F,Helen,NA,NA,control,Is Mary's aunt sick?,control,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Grace used pens or markers,9,Grace hates her sister,factL,but not both,9,0,27290,5,M,James,M,Alexander,NonProj,Did Andrew reveal that Grace used pens or markers?,reveal,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Josh bought coffee or tea,12,Frank has always wanted a pet,factH,and possibly both,12,1,14253,6,F,Donna,F,Diane,C,Did Melissa acknowledge that Josh bought coffee or tea?,acknowledge,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Danny solved some of the puzzles,4,Olivia works the third shift,factH,but not all of them,4,1,7191,7,F,Lisa,F,Christina,C,Did Jerry hear that Danny solved some of the puzzles?,hear,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,NA,control1,0,6327,8,M,James,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Emily failed math or science,8,Emily never has any money,factL,but not both,8,0,8799,9,F,Jessica,M,Larry,C,Did Brian suggest that Emily failed math or science?,suggest,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Mary ate some of the cupcakes,1,Mary is taking a prenatal yoga class,factH,but not all of them,1,1,11094,10,F,Jennifer,M,Kevin,NonProj,Does Patrick know that Mary ate some of the cupcakes?,know,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Jayden solved the puzzles or problems,10,Zoe is 5 years old,factL,and possibly both,10,1,14494,11,F,Karen,F,Janet,NonProj,Did Tim establish that Jayden solved the puzzles or problems?,establish,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Jackson completed some of the assignments,6,Mia is a nun,factL,and possibly all of them,6,0.98,55656,12,F,Helen,F,Stephanie,C,Did Ray inform Sam that Jackson completed some of the assignments?,inform_Sam,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Josie failed some of the courses,2,Josie doesn't have a passport,factL,and possibly all of them,2,0,16350,13,M,Richard,M,Raymond,C,Did Scott prove that Josie failed some of the courses?,prove,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,NA,control4,0,4167,14,M,David,NA,NA,control,Is Vanessa good at math?,control,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Frank answered some of the questions,5,Sophia is a hipster,factH,and possibly all of them,5,0,9520,15,M,Robert,F,Ruth,C,Did Ben confirm that Frank answered some of the questions?,confirm,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Isabella ate cake or pie,7,Isabella is from Argentina,factH,and possibly both,7,1,11292,16,F,Elizabeth,M,Ryan,C,Did Kevin say that Isabella ate cake or pie?,say,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,NA,control3,0,4535,17,F,Karen,NA,NA,control,Did Todd play football in high school?,control,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
26,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,NA,control6,0,3876,18,M,Richard,NA,NA,control,Was Hendrick's car expensive?,control,[],34,y,Yes,NA,Graduated College,No,m,English,no,Chrome,Windows,1080,1920,4.74635,NA
