workerid,proliferate.condition,content,contentNr,fact,fact_type,probe_text,question,response,rt,slide_number_in_experiment,speakerGender,speakerName,subjectGender,subjectName,trigger_class,utterance,verb,error
12,main,Jayden solved the puzzles or problems,10,Zoe is a math major,factH,and possibly both,10,0.46,1832,3,F,Dorothy,F,Joyce,NonProj,Did Tim discover that Jayden solved the puzzles or problems?,discover,
12,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.73,1266,4,M,George,NA,NA,control,Is Vanessa good at math?,control,
12,main,Frank answered some of the questions,5,Sophia is a hipster,factH,but not all of them,5,0.53,1232,5,M,William,F,Rachel,NonProj,Does Ben know that Frank answered some of the questions?,know,
12,main,Emma used some of the office supplies,3,Emma is in law school,factH,and possibly all of them,3,0.62,1166,6,F,Jessica,M,Gregory,C,Did Justin confirm that Emma used some of the office supplies?,confirm,
12,main,Tony answered emails or calls,11,Danny loves cake,factH,but not both,11,0.54,1217,7,M,Christopher,F,Laura,C,Did Amanda say that Tony answered emails or calls?,say,
12,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.64,1667,8,M,Kenneth,NA,NA,control,Is Mary's aunt sick?,control,
12,main,Josh bought coffee or tea,12,Frank is allergic to cats,factL,and possibly both,12,0.52,1316,9,M,Steven,F,Angela,C,Did Melissa hear that Josh bought coffee or tea?,hear,
12,main,Mary ate some of the cupcakes,1,Mary is a middle school student,factL,but not all of them,1,0.54,1234,10,M,Kenneth,M,Jacob,C,Did Patrick suggest that Mary ate some of the cupcakes?,suggest,
12,main,Danny solved some of the puzzles,4,Olivia works the third shift,factH,and possibly all of them,4,0.53,1071,11,F,Linda,F,Anna,C,Did Jerry acknowledge that Danny solved some of the puzzles?,acknowledge,
12,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.51,1029,12,F,Susan,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
12,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.5,1016,13,F,Michelle,NA,NA,control,Did Madison have a baby?,control,
12,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.5,1134,14,M,Steven,NA,NA,control,Was Hendrick's car expensive?,control,
12,main,Josie failed some of the courses,2,Josie doesn't have a passport,factL,but not all of them,2,0.52,1433,15,F,Michelle,M,Scott,NonProj,Did Scott establish that failed some of the courses?,establish,
12,main,Jackson completed some of the assignments,6,Mia is a nun,factL,and possibly all of them,6,0.4,1050,16,F,Betty,F,Ruth,C,Did Ray inform Sam that Jackson completed some of the assignments?,inform_Sam,
12,main,Emily failed math or science,8,Emily never has any money,factL,but not both,8,0.78,1117,17,F,Susan,M,Alexander,NonProj,Does Brian think that Emily failed math or science?,think,
12,main,Grace used pens or markers,9,Grace loves her sister,factH,but not both,9,0.11,1133,18,M,Matthew,M,Timothy,NonProj,Did Andrew reveal that Grace used pens or markers?,reveal,
12,main,Isabella ate cake or pie,7,Isabella is a vegetarian,factL,and possibly both,7,0.87,1200,19,M,George,M,Kevin,C,Did Kevin prove that Isabella ate cake or pie?,prove,
12,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.56,1750,20,F,Betty,NA,NA,control,Did Todd play football in high school?,control,
11,main,Jayden solved the puzzles or problems,10,Zoe is 5 years old,factL,and possibly both,10,0.4,1349,3,M,William,F,Carolyn,C,Did Tim acknowledge that Jayden solved the puzzles or problems?,acknowledge,
11,main,Danny solved some of the puzzles,4,Olivia works the third shift,factH,and possibly all of them,4,0.59,1666,4,M,Christopher,F,Rachel,NonProj,Did Jerry reveal that Danny solved some of the puzzles?,reveal,
11,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.79,1100,5,M,Richard,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
11,main,Mary ate some of the cupcakes,1,Mary is a middle school student,factL,but not all of them,1,0.15,1500,6,M,George,M,Brandon,C,Did Patrick hear that Mary ate some of the cupcakes?,hear,
11,main,Emily failed math or science,8,Emily never has any money,factL,and possibly both,8,0.84,1183,7,F,Ashley,M,Justin,C,Did Brian inform Sam that Emily failed math or science?,inform_Sam,
11,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.09,1300,8,M,Kenneth,NA,NA,control,Was Hendrick's car expensive?,control,
11,main,Frank answered some of the questions,5,Sophia is a hipster,factH,and possibly all of them,5,0.95,1416,9,F,Betty,F,Kathleen,NonProj,Does Ben think that Frank answered some of the questions?,think,
11,main,Emma used some of the office supplies,3,Emma is in first grade,factL,but not all of them,3,0.09,1317,10,M,Richard,M,Benjamin,NonProj,Does Justin know that Emma used some of the office supplies?,know,
11,main,Josie failed some of the courses,2,Josie loves France,factH,but not all of them,2,0.91,1350,11,F,Dorothy,M,Andrew,NonProj,Did Scott establish that failed some of the courses?,establish,
11,main,Isabella ate cake or pie,7,Isabella is a vegetarian,factL,but not both,7,0.95,4583,12,F,Kimberly,M,Jeffrey,C,Did Kevin confirm that Isabella ate cake or pie?,confirm,
11,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.13,1467,13,M,William,NA,NA,control,Is Vanessa good at math?,control,
11,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.85,1133,14,F,Ashley,NA,NA,control,Did Todd play football in high school?,control,
11,main,Grace used pens or markers,9,Grace loves her sister,factH,and possibly both,9,0.14,1450,15,F,Michelle,M,Jacob,C,Did Andrew suggest that Grace used pens or markers?,suggest,
11,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.88,1233,16,F,Kimberly,NA,NA,control,Is Mary's aunt sick?,control,
11,main,Josh bought coffee or tea,12,Frank has always wanted a pet,factH,but not both,12,0.23,1251,17,M,Robert,F,Heather,C,Did Melissa say that Josh bought coffee or tea?,say,
11,main,Jackson completed some of the assignments,6,Mia is a nun,factL,and possibly all of them,6,0.9,1266,18,M,Kenneth,F,Christina,NonProj,Did Ray discover that Jackson completed some of the assignments?,discover,
11,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.2,1484,19,M,George,NA,NA,control,Did Madison have a baby?,control,
11,main,Tony answered emails or calls,11,Danny loves cake,factH,but not both,11,0.88,1283,20,F,Carol,F,Sharon,C,Did Amanda prove that Tony answered emails or calls?,prove,
20,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.11,2484,4,F,Carol,NA,NA,control,Did Madison have a baby?,control,
20,main,Isabella ate cake or pie,7,Isabella is from Argentina,factH,but not both,7,0.92,25599,5,F,Sarah,M,Larry,NonProj,Does Kevin think that Isabella ate cake or pie?,think,
