workerid,proliferate.condition,condition,item_id,matrix_subject,response,rt,scale,slide_number_in_experiment,speakerGender,speakerName,statement,trigger,trigger_class,utterance,catch_trials,subject_information.age,subject_information.american,subject_information.assess,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
42,main,lb,11,Amanda,0.95,17210,or,4,F,Ashley,Tony graded the midterm or the final or both,inform_Sam,C,Did Amanda inform Sam that Tony graded the midterm or the final?,[],39,y,Yes,,Graduated College,It was fine,f,english,,Chrome,Windows,768,1366,5.185533333333334,
42,main,,control3,,0.25,10389,,5,F,Elizabeth,Todd played football in high school,control,control,Did Todd play football in high school?,[],39,y,Yes,,Graduated College,It was fine,f,english,,Chrome,Windows,768,1366,5.185533333333334,
42,main,lb,8,Brian,0.12,7929,or,6,F,Betty,Emily failed math or science or both,suggest,C,Did Brian suggest that Emily failed math or science?,[],39,y,Yes,,Graduated College,It was fine,f,english,,Chrome,Windows,768,1366,5.185533333333334,
42,main,,control2,,0.21,5889,,7,M,James,Mary's aunt is sick,control,control,Is Mary's aunt sick?,[],39,y,Yes,,Graduated College,It was fine,f,english,,Chrome,Windows,768,1366,5.185533333333334,
42,main,ub,9,Andrew,0.67,11743,or,8,F,Linda,"Grace stole a laptop or a calculator, and she did not steal both",acknowledge,C,Did Andrew acknowledge that Grace stole a laptop or a calculator?,[],39,y,Yes,,Graduated College,It was fine,f,english,,Chrome,Windows,768,1366,5.185533333333334,
42,main,ub,10,Tina,0.63,14387,or,9,M,Paul,"Jayden solved the crossword or the Rubik's cube, and he did not solve both",know,NonProj,Does Tina know that Jayden solved the crossword or the Rubik's cube?,[],39,y,Yes,,Graduated College,It was fine,f,english,,Chrome,Windows,768,1366,5.185533333333334,
42,main,lb,6,Rachel,0.8,7414,some,10,F,Carol,Jackson drank at least some of the sodas,discover,NonProj,Did Rachel discover that Jackson drank some of the sodas?,[],39,y,Yes,,Graduated College,It was fine,f,english,,Chrome,Windows,768,1366,5.185533333333334,
42,main,,control6,,0.35,6568,,11,F,Dorothy,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,[],39,y,Yes,,Graduated College,It was fine,f,english,,Chrome,Windows,768,1366,5.185533333333334,
42,main,lb,7,Kevin,0.33,7974,or,12,F,Kimberly,Isabella ate cake or pie or both,prove,C,Did Kevin prove that Isabella ate cake or pie?,[],39,y,Yes,,Graduated College,It was fine,f,english,,Chrome,Windows,768,1366,5.185533333333334,
42,main,lb,2,Scott,0.45,42189,some,13,M,George,Josie failed at least some of the courses,establish,NonProj,Did Scott establish that Josie failed some of the courses?,[],39,y,Yes,,Graduated College,It was fine,f,english,,Chrome,Windows,768,1366,5.185533333333334,
42,main,ub,3,Justin,0.36,7413,some,14,F,Sarah,"Emma stole some of the office supplies, and she did not take all of them",say,C,Did Justin say that Emma stole some of the office supplies?,[],39,y,Yes,,Graduated College,It was fine,f,english,,Chrome,Windows,768,1366,5.185533333333334,
42,main,,control5,,0.32,6507,,15,F,Nancy,Madison had a baby,control,control,Did Madison have a baby?,[],39,y,Yes,,Graduated College,It was fine,f,english,,Chrome,Windows,768,1366,5.185533333333334,
42,main,lb,5,Barbara,0.27,13434,some,16,F,Lisa,Frank graded at least some of the math problems,confirm,C,Did Barbara confirm that Frank graded some of the math problems?,[],39,y,Yes,,Graduated College,It was fine,f,english,,Chrome,Windows,768,1366,5.185533333333334,
42,main,,control4,,0.26,5593,,17,F,Sandra,Vanessa is good at math,control,control,Is Vanessa good at math?,[],39,y,Yes,,Graduated College,It was fine,f,english,,Chrome,Windows,768,1366,5.185533333333334,
42,main,ub,1,Patrick,0.53,8070,some,18,M,William,"Mary ate some of the cupcakes, and she did not eat all of them",reveal,NonProj,Did Patrick reveal that Mary ate some of the cupcakes?,[],39,y,Yes,,Graduated College,It was fine,f,english,,Chrome,Windows,768,1366,5.185533333333334,
42,main,,control1,,0.28,4413,,19,F,Jessica,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,[],39,y,Yes,,Graduated College,It was fine,f,english,,Chrome,Windows,768,1366,5.185533333333334,
42,main,ub,12,Melissa,0.41,9026,or,20,F,Jennifer,"Josh drank coffee or tea, and he did not drink both",think,NonProj,Does Melissa think that Josh drank coffee or tea?,[],39,y,Yes,,Graduated College,It was fine,f,english,,Chrome,Windows,768,1366,5.185533333333334,
42,main,ub,4,Janice,0.5,11606,some,21,M,Christopher,"Danny solved some of the puzzles, and he did not solve all of them",hear,C,Did Janice hear that Danny solved some of the puzzles?,[],39,y,Yes,,Graduated College,It was fine,f,english,,Chrome,Windows,768,1366,5.185533333333334,
34,main,lb,8,Brian,0,8801,or,4,M,James,Emily failed math or science or both,say,C,Did Brian say that Emily failed math or science?,[],24,y,Yes,Great Study!,Graduated High School,Yes,m,English,No,Chrome,Mac,900,1440,3.752983333333334,
34,main,,control6,,0,6067,,5,M,Paul,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,[],24,y,Yes,Great Study!,Graduated High School,Yes,m,English,No,Chrome,Mac,900,1440,3.752983333333334,
34,main,ub,9,Andrew,0,14437,or,6,M,Matthew,"Grace stole a laptop or a calculator, and she did not steal both",prove,C,Did Andrew prove that Grace stole a laptop or a calculator?,[],24,y,Yes,Great Study!,Graduated High School,Yes,m,English,No,Chrome,Mac,900,1440,3.752983333333334,
34,main,ub,12,Melissa,1,17836,or,7,F,Jessica,"Josh drank coffee or tea, and he did not drink both",know,NonProj,Does Melissa know that Josh drank coffee or tea?,[],24,y,Yes,Great Study!,Graduated High School,Yes,m,English,No,Chrome,Mac,900,1440,3.752983333333334,
34,main,ub,1,Patrick,0,6601,some,8,F,Dorothy,"Mary ate some of the cupcakes, and she did not eat all of them",confirm,C,Did Patrick confirm that Mary ate some of the cupcakes?,[],24,y,Yes,Great Study!,Graduated High School,Yes,m,English,No,Chrome,Mac,900,1440,3.752983333333334,
34,main,,control1,,0,6317,,9,M,Steven,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,[],24,y,Yes,Great Study!,Graduated High School,Yes,m,English,No,Chrome,Mac,900,1440,3.752983333333334,
