workerid,proliferate.condition,condition,item_id,matrix_subject,response,rt,scale,slide_number_in_experiment,speakerGender,speakerName,statement,trigger,trigger_class,utterance,error
72,main,ub,5,Barbara,0.15,17006,some,4,F,Donna,"Frank graded some of the math problems, and he did not grade all of them",inform_Sam,C,Did Barbara inform Sam that Frank graded some of the math problems?,NA
72,main,NA,control6,NA,0,5703,NA,5,M,Matthew,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,NA
72,main,ub,3,Justin,0.09,10380,some,6,F,Jennifer,"Emma stole some of the office supplies, and she did not take all of them",reveal,NonProj,Did Justin reveal that Emma stole some of the office supplies?,NA
72,main,ub,8,Brian,0.1,7224,or,7,F,Dorothy,"Emily failed math or science, and she did not fail both",know,NonProj,Does Brian know that Emily failed math or science?,NA
72,main,lb,2,Scott,0.99,11212,some,8,M,George,Josie failed at least some of the courses,acknowledge,C,Did Scott acknowledge that Josie failed some of the courses?,NA
72,main,lb,6,Rachel,0.12,7494,some,9,F,Sandra,Jackson drank at least some of the sodas,say,C,Did Rachel say that Jackson drank some of the sodas?,NA
72,main,ub,12,Melissa,0.13,7000,or,10,F,Nancy,"Josh drank coffee or tea, and he did not drink both",confirm,C,Did Melissa confirm that Josh drank coffee or tea?,NA
72,main,lb,1,Patrick,0.25,14777,some,11,F,Carol,Mary ate at least some of the cupcakes,suggest,C,Did Patrick suggest that Mary ate some of the cupcakes?,NA
72,main,lb,10,Tina,0.17,13050,or,12,F,Karen,Jayden solved the crossword or the Rubik's cube or both,prove,C,Did Tina prove that Jayden solved the crossword or the Rubik's cube?,NA
72,main,NA,control1,NA,0.12,6724,NA,13,F,Helen,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,NA
72,main,NA,control4,NA,0.11,7089,NA,14,M,Kenneth,Vanessa is good at math,control,control,Is Vanessa good at math?,NA
72,main,ub,9,Andrew,0.12,7694,or,15,M,Paul,"Grace stole a laptop or a calculator, and she did not steal both",establish,NonProj,Did Andrew establish that Grace stole a laptop or a calculator?,NA
72,main,ub,4,Janice,0.09,5710,some,16,M,Christopher,"Danny solved some of the puzzles, and he did not solve all of them",discover,NonProj,Did Janice discover that Danny solved some of the puzzles?,NA
72,main,NA,control3,NA,0.09,5134,NA,17,M,Steven,Todd played football in high school,control,control,Did Todd play football in high school?,NA
72,main,NA,control2,NA,0.1,4802,NA,18,F,Betty,Mary's aunt is sick,control,control,Is Mary's aunt sick?,NA
72,main,NA,control5,NA,0.05,4562,NA,19,F,Michelle,Madison had a baby,control,control,Did Madison have a baby?,NA
72,main,lb,7,Kevin,0.09,5580,or,20,F,Margaret,Isabella ate cake or pie or both,think,NonProj,Does Kevin think that Isabella ate cake or pie?,NA
72,main,lb,11,Amanda,0.06,7330,or,21,M,Thomas,Tony graded the midterm or the final or both,hear,C,Did Amanda hear that Tony graded the midterm or the final?,NA
425,main,ub,5,Barbara,0,83326,some,4,F,Jessica,"Frank graded some of the math problems, and he did not grade all of them",inform_Sam,C,Did Barbara inform Sam that Frank graded some of the math problems?,NA
425,main,ub,1,Patrick,1,39391,some,5,M,William,"Mary ate some of the cupcakes, and she did not eat all of them",acknowledge,C,Did Patrick acknowledge that Mary ate some of the cupcakes?,NA
425,main,NA,control4,NA,1,23000,NA,6,F,Helen,Vanessa is good at math,control,control,Is Vanessa good at math?,NA
425,main,ub,12,Melissa,0.96,26616,or,7,M,James,"Josh drank coffee or tea, and he did not drink both",reveal,NonProj,Did Melissa reveal that Josh drank coffee or tea?,NA
425,main,NA,control6,NA,1,15672,NA,8,F,Sarah,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,NA
425,main,lb,10,Tina,0,45176,or,9,M,Mark,Jayden solved the crossword or the Rubik's cube or both,think,NonProj,Does Tina think that Jayden solved the crossword or the Rubik's cube?,NA
425,main,lb,4,Janice,1,13936,some,10,F,Kimberly,Danny solved at least some of the puzzles,suggest,C,Did Janice suggest that Danny solved some of the puzzles?,NA
425,main,lb,6,Rachel,1,13400,some,11,M,David,Jackson drank at least some of the sodas,confirm,C,Did Rachel confirm that Jackson drank some of the sodas?,NA
425,main,lb,2,Scott,1,15943,some,12,F,Margaret,Josie failed at least some of the courses,prove,C,Did Scott prove that Josie failed some of the courses?,NA
425,main,NA,control1,NA,1,11727,NA,13,F,Jennifer,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,NA
425,main,ub,11,Amanda,0.54,19759,or,14,M,Robert,"Tony graded the midterm or the final, and he did not grade both",say,C,Did Amanda say that Tony graded the midterm or the final?,NA
425,main,NA,control5,NA,1,9928,NA,15,F,Betty,Madison had a baby,control,control,Did Madison have a baby?,NA
425,main,lb,8,Brian,0,13704,or,16,M,Steven,Emily failed math or science or both,hear,C,Did Brian hear that Emily failed math or science?,NA
425,main,ub,7,Kevin,0.47,13304,or,17,M,Paul,"Isabella ate cake or pie, and she did not eat both",establish,NonProj,Did Kevin establish that Isabella ate cake or pie?,NA
425,main,NA,control3,NA,1,9864,NA,18,F,Carol,Todd played football in high school,control,control,Did Todd play football in high school?,NA
425,main,NA,control2,NA,1,11304,NA,19,F,Susan,Mary's aunt is sick,control,control,Is Mary's aunt sick?,NA
425,main,ub,3,Justin,1,49768,some,20,F,Elizabeth,"Emma stole some of the office supplies, and she did not take all of them",discover,NonProj,Did Justin discover that Emma stole some of the office supplies?,NA
425,main,lb,9,Andrew,0,13896,or,21,F,Nancy,Grace stole a laptop or a calculator or both,know,NonProj,Does Andrew know that Grace stole a laptop or a calculator?,NA
65,main,NA,control4,NA,0.98,28708,NA,4,M,George,Vanessa is good at math,control,control,Is Vanessa good at math?,NA
65,main,NA,control1,NA,1,16861,NA,5,F,Lisa,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,NA
65,main,ub,9,Andrew,0.22,21132,or,6,F,Ashley,"Grace stole a laptop or a calculator, and she did not steal both",hear,C,Did Andrew hear that Grace stole a laptop or a calculator?,NA
65,main,ub,8,Brian,0.13,11504,or,7,M,David,"Emily failed math or science, and she did not fail both",suggest,C,Did Brian suggest that Emily failed math or science?,NA
65,main,NA,control5,NA,0.98,18791,NA,8,M,Thomas,Madison had a baby,control,control,Did Madison have a baby?,NA
65,main,NA,control2,NA,0.99,12080,NA,9,F,Betty,Mary's aunt is sick,control,control,Is Mary's aunt sick?,NA
65,main,NA,control3,NA,0.92,13368,NA,10,F,Dorothy,Todd played football in high school,control,control,Did Todd play football in high school?,NA
65,main,ub,1,Patrick,0.29,13825,some,11,F,Michelle,"Mary ate some of the cupcakes, and she did not eat all of them",acknowledge,C,Did Patrick acknowledge that Mary ate some of the cupcakes?,NA
65,main,lb,12,Melissa,0.22,9618,or,12,F,Margaret,Josh drank coffee or tea or both,confirm,C,Did Melissa confirm that Josh drank coffee or tea?,NA
65,main,lb,3,Justin,0.07,11469,some,13,M,William,Emma stole at least some of the office supplies,establish,NonProj,Did Justin establish that Emma stole some of the office supplies?,NA
65,main,lb,5,Barbara,0.9,11692,some,14,F,Jennifer,Frank graded at least some of the math problems,think,NonProj,Does Barbara think that Frank graded some of the math problems?,NA
65,main,ub,2,Scott,0.71,13731,some,15,M,Christopher,"Josie failed some of the courses, and she did not fail all of them",prove,C,Did Scott prove that Josie failed some of the courses?,NA
65,main,lb,10,Tina,0.16,11178,or,16,M,Paul,Jayden solved the crossword or the Rubik's cube or both,reveal,NonProj,Did Tina reveal that Jayden solved the crossword or the Rubik's cube?,NA
65,main,NA,control6,NA,0.99,7848,NA,17,M,Matthew,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,NA
65,main,lb,6,Rachel,0.79,8988,some,18,F,Kimberly,Jackson drank at least some of the sodas,know,NonProj,Does Rachel know that Jackson drank some of the sodas?,NA
65,main,ub,4,Janice,0.81,10109,some,19,F,Helen,"Danny solved some of the puzzles, and he did not solve all of them",say,C,Did Janice say that Danny solved some of the puzzles?,NA
65,main,lb,7,Kevin,0.68,16123,or,20,F,Donna,Isabella ate cake or pie or both,discover,NonProj,Did Kevin discover that Isabella ate cake or pie?,NA
65,main,ub,11,Amanda,0.32,13665,or,21,F,Nancy,"Tony graded the midterm or the final, and he did not grade both",inform_Sam,C,Did Amanda inform Sam that Tony graded the midterm or the final?,NA
332,main,lb,9,Andrew,0.75,26839,or,4,F,Ashley,Grace stole a laptop or a calculator or both,hear,C,Did Andrew hear that Grace stole a laptop or a calculator?,NA
332,main,NA,control2,NA,0.21,11589,NA,5,F,Margaret,Mary's aunt is sick,control,control,Is Mary's aunt sick?,NA
332,main,ub,12,Melissa,0.77,30010,or,6,F,Elizabeth,"Josh drank coffee or tea, and he did not drink both",prove,C,Did Melissa prove that Josh drank coffee or tea?,NA
332,main,lb,6,Rachel,0.98,33901,some,7,F,Helen,Jackson drank at least some of the sodas,inform_Sam,C,Did Rachel inform Sam that Jackson drank some of the sodas?,NA
332,main,lb,4,Janice,0.99,9509,some,8,M,Mark,Danny solved at least some of the puzzles,know,NonProj,Does Janice know that Danny solved some of the puzzles?,NA
332,main,ub,1,Patrick,0.86,13861,some,9,F,Donna,"Mary ate some of the cupcakes, and she did not eat all of them",confirm,C,Did Patrick confirm that Mary ate some of the cupcakes?,NA
332,main,lb,11,Amanda,0.57,54011,or,10,M,William,Tony graded the midterm or the final or both,discover,NonProj,Did Amanda discover that Tony graded the midterm or the final?,NA
332,main,NA,control3,NA,0.06,10978,NA,11,F,Carol,Todd played football in high school,control,control,Did Todd play football in high school?,NA
332,main,lb,7,Kevin,0.73,14602,or,12,M,Christopher,Isabella ate cake or pie or both,reveal,NonProj,Did Kevin reveal that Isabella ate cake or pie?,NA
332,main,ub,10,Tina,0.79,13414,or,13,M,Kenneth,"Jayden solved the crossword or the Rubik's cube, and he did not solve both",establish,NonProj,Did Tina establish that Jayden solved the crossword or the Rubik's cube?,NA
332,main,ub,8,Brian,0.81,8523,or,14,M,David,"Emily failed math or science, and she did not fail both",acknowledge,C,Did Brian acknowledge that Emily failed math or science?,NA
332,main,NA,control1,NA,0.01,9600,NA,15,F,Sarah,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,NA
332,main,lb,2,Scott,0.65,22401,some,16,M,Thomas,Josie failed at least some of the courses,say,C,Did Scott say that Josie failed some of the courses?,NA
332,main,ub,3,Justin,0.33,22610,some,17,F,Kimberly,"Emma stole some of the office supplies, and she did not take all of them",think,NonProj,Does Justin think that Emma stole some of the office supplies?,NA
332,main,NA,control5,NA,0.53,11876,NA,18,F,Susan,Madison had a baby,control,control,Did Madison have a baby?,NA
332,main,ub,5,Barbara,0.34,23766,some,19,F,Jessica,"Frank graded some of the math problems, and he did not grade all of them",suggest,C,Did Barbara suggest that Frank graded some of the math problems?,NA
332,main,NA,control6,NA,0.31,9303,NA,20,F,Dorothy,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,NA
332,main,NA,control4,NA,0.26,5341,NA,21,F,Lisa,Vanessa is good at math,control,control,Is Vanessa good at math?,NA
353,main,ub,1,Patrick,0.18,19797,some,4,F,Sarah,"Mary ate some of the cupcakes, and she did not eat all of them",think,NonProj,Does Patrick think that Mary ate some of the cupcakes?,NA
353,main,NA,control2,NA,0.07,9562,NA,5,M,Matthew,Mary's aunt is sick,control,control,Is Mary's aunt sick?,NA
353,main,lb,9,Andrew,0.45,15582,or,6,F,Kimberly,Grace stole a laptop or a calculator or both,hear,C,Did Andrew hear that Grace stole a laptop or a calculator?,NA
353,main,NA,control5,NA,0.04,8660,NA,7,F,Donna,Madison had a baby,control,control,Did Madison have a baby?,NA
353,main,ub,6,Rachel,0.85,12865,some,8,F,Lisa,"Jackson drank some of the sodas, and he did not drink all of them",reveal,NonProj,Did Rachel reveal that Jackson drank some of the sodas?,NA
353,main,lb,5,Barbara,0.49,13909,some,9,M,Paul,Frank graded at least some of the math problems,discover,NonProj,Did Barbara discover that Frank graded some of the math problems?,NA
353,main,NA,control1,NA,0.03,5987,NA,10,M,Robert,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,NA
353,main,ub,8,Brian,0.09,9246,or,11,M,James,"Emily failed math or science, and she did not fail both",prove,C,Did Brian prove that Emily failed math or science?,NA
353,main,ub,10,Tina,0.08,13021,or,12,M,William,"Jayden solved the crossword or the Rubik's cube, and he did not solve both",inform_Sam,C,Did Tina inform Sam that Jayden solved the crossword or the Rubik's cube?,NA
353,main,ub,7,Kevin,0.07,14688,or,13,F,Margaret,"Isabella ate cake or pie, and she did not eat both",suggest,C,Did Kevin suggest that Isabella ate cake or pie?,NA
353,main,ub,3,Justin,0.05,8330,some,14,M,Richard,"Emma stole some of the office supplies, and she did not take all of them",say,C,Did Justin say that Emma stole some of the office supplies?,NA
353,main,NA,control3,NA,0.03,7007,NA,15,M,Christopher,Todd played football in high school,control,control,Did Todd play football in high school?,NA
353,main,lb,11,Amanda,0.09,12851,or,16,F,Sandra,Tony graded the midterm or the final or both,confirm,C,Did Amanda confirm that Tony graded the midterm or the final?,NA
353,main,NA,control4,NA,0.04,5697,NA,17,F,Michelle,Vanessa is good at math,control,control,Is Vanessa good at math?,NA
353,main,lb,12,Melissa,0.91,12931,or,18,M,David,Josh drank coffee or tea or both,know,NonProj,Does Melissa know that Josh drank coffee or tea?,NA
353,main,lb,4,Janice,0.58,8680,some,19,F,Carol,Danny solved at least some of the puzzles,acknowledge,C,Did Janice acknowledge that Danny solved some of the puzzles?,NA
353,main,lb,2,Scott,0.26,8395,some,20,F,Nancy,Josie failed at least some of the courses,establish,NonProj,Did Scott establish that Josie failed some of the courses?,NA
353,main,NA,control6,NA,0.04,10183,NA,21,F,Dorothy,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,NA
423,main,lb,4,Janice,0.96,8501,some,4,M,James,Danny solved at least some of the puzzles,inform_Sam,C,Did Janice inform Sam that Danny solved some of the puzzles?,NA
423,main,NA,control4,NA,0.97,40105,NA,5,F,Ashley,Vanessa is good at math,control,control,Is Vanessa good at math?,NA
423,main,lb,8,Brian,0.95,4801,or,6,F,Dorothy,Emily failed math or science or both,know,NonProj,Does Brian know that Emily failed math or science?,NA
423,main,ub,10,Tina,0.02,10821,or,7,F,Sandra,"Jayden solved the crossword or the Rubik's cube, and he did not solve both",discover,NonProj,Did Tina discover that Jayden solved the crossword or the Rubik's cube?,NA
