workerid,proliferate.condition,content,contentNr,fact,fact_type,probe_text,question,response,rt,slide_number_in_experiment,speakerGender,speakerName,subjectGender,subjectName,trigger_class,utterance,verb,catch_trials,subject_information.age,subject_information.american,subject_information.assess,subject_information.comments,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
4,main,Emily failed math or science,8,Emily never has any money,factL,and possibly both,8,0.58,1515,3,F,Michelle,M,Ryan,NonProj,Did Brian establish that Emily failed math or science?,establish,[],35,y,Graduated College,vjy,english ,Chrome,Mac,956,1470,0.7138666666666666,
4,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.73,1350,4,F,Sarah,NA,NA,control,Was Hendrick's car expensive?,control,[],35,y,Graduated College,vjy,english ,Chrome,Mac,956,1470,0.7138666666666666,
4,main,Isabella ate cake or pie,7,Isabella is from Argentina,factH,and possibly both,7,0.63,1134,5,M,James,M,Raymond,NonProj,Does Kevin know that Isabella ate cake or pie?,know,[],35,y,Graduated College,vjy,english ,Chrome,Mac,956,1470,0.7138666666666666,
4,main,Frank answered some of the questions,5,Sophia is a hipster,factH,but not all of them,5,0.32,1433,6,F,Dorothy,F,Sharon,C,Did Ben inform Sam that Frank answered some of the questions?,inform_Sam,[],35,y,Graduated College,vjy,english ,Chrome,Mac,956,1470,0.7138666666666666,
4,main,Jackson completed some of the assignments,6,Mia is a nun,factL,but not all of them,6,0.75,1500,7,F,Elizabeth,F,Christina,NonProj,Did Ray reveal that Jackson completed some of the assignments?,reveal,[],35,y,Graduated College,vjy,english ,Chrome,Mac,956,1470,0.7138666666666666,
4,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.62,1266,8,F,Michelle,NA,NA,control,Is Mary's aunt sick?,control,[],35,y,Graduated College,vjy,english ,Chrome,Mac,956,1470,0.7138666666666666,
4,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.16,1234,9,F,Ashley,NA,NA,control,Did Todd play football in high school?,control,[],35,y,Graduated College,vjy,english ,Chrome,Mac,956,1470,0.7138666666666666,
4,main,Danny solved some of the puzzles,4,Olivia has two small children,factL,and possibly all of them,4,0.2,1267,10,F,Ashley,F,Cynthia,NonProj,Does Jerry think that Danny solved some of the puzzles?,think,[],35,y,Graduated College,vjy,english ,Chrome,Mac,956,1470,0.7138666666666666,
4,main,Josie failed some of the courses,2,Josie loves France,factH,but not all of them,2,0.94,1749,11,F,Linda,M,Jerry,C,Did Scott suggest that Josie failed some of the courses?,suggest,[],35,y,Graduated College,vjy,english ,Chrome,Mac,956,1470,0.7138666666666666,
4,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.86,1534,12,F,Elizabeth,NA,NA,control,Did Madison have a baby?,control,[],35,y,Graduated College,vjy,english ,Chrome,Mac,956,1470,0.7138666666666666,
4,main,Mary ate some of the cupcakes,1,Mary is a middle school student,factL,and possibly all of them,1,0.09,1383,13,M,Richard,M,Timothy,C,Did Patrick confirm that Mary ate some of the cupcakes?,confirm,[],35,y,Graduated College,vjy,english ,Chrome,Mac,956,1470,0.7138666666666666,
4,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.89,2250,14,M,Richard,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,[],35,y,Graduated College,vjy,english ,Chrome,Mac,956,1470,0.7138666666666666,
4,main,Jayden solved the puzzles or problems,10,Zoe is a math major,factH,and possibly both,10,0.08,1433,15,F,Lisa,F,Julie,C,Did Tim hear that Jayden solved the puzzles or problems?,hear,[],35,y,Graduated College,vjy,english ,Chrome,Mac,956,1470,0.7138666666666666,
4,main,Tony answered emails or calls,11,Danny is a diabetic,factL,but not both,11,0.93,1534,16,F,Sarah,F,Nicole,NonProj,Did Amanda discover that Tony answered emails or calls?,discover,[],35,y,Graduated College,vjy,english ,Chrome,Mac,956,1470,0.7138666666666666,
4,main,Emma used some of the office supplies,3,Emma is in law school,factH,and possibly all of them,3,0.06,1566,17,M,David,M,Gary,C,Did Justin say that Emma used some of the office supplies?,say,[],35,y,Graduated College,vjy,english ,Chrome,Mac,956,1470,0.7138666666666666,
4,main,Grace used pens or markers,9,Grace loves her sister,factH,but not both,9,0.92,1467,18,F,Nancy,M,Andrew,C,Did Andrew prove that Grace used pens or markers?,prove,[],35,y,Graduated College,vjy,english ,Chrome,Mac,956,1470,0.7138666666666666,
4,main,Josh bought coffee or tea,12,Frank is allergic to cats,factL,but not both,12,0.09,1533,19,F,Jessica,F,Janet,C,Did Melissa acknowledge that Josh bought coffee or tea?,acknowledge,[],35,y,Graduated College,vjy,english ,Chrome,Mac,956,1470,0.7138666666666666,
4,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.91,1684,20,F,Jessica,NA,NA,control,Is Vanessa good at math?,control,[],35,y,Graduated College,vjy,english ,Chrome,Mac,956,1470,0.7138666666666666,
3,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.18,2615,3,F,Linda,NA,NA,control,Did Todd play football in high school?,control,[],35,y,No,hgjhkuh,english ,Chrome,Mac,956,1470,1.15375,
