workerid,proliferate.condition,condition,item_id,matrix_subject,response,rt,scale,slide_number_in_experiment,speakerGender,speakerName,statement,trigger,trigger_class,utterance,error
42,main,lb,11,Amanda,0.95,17210,or,4,F,Ashley,Tony graded the midterm or the final or both,inform_Sam,C,Did Amanda inform Sam that Tony graded the midterm or the final?,
42,main,,control3,,0.25,10389,,5,F,Elizabeth,Todd played football in high school,control,control,Did Todd play football in high school?,
42,main,lb,8,Brian,0.12,7929,or,6,F,Betty,Emily failed math or science or both,suggest,C,Did Brian suggest that Emily failed math or science?,
42,main,,control2,,0.21,5889,,7,M,James,Mary's aunt is sick,control,control,Is Mary's aunt sick?,
42,main,ub,9,Andrew,0.67,11743,or,8,F,Linda,"Grace stole a laptop or a calculator, and she did not steal both",acknowledge,C,Did Andrew acknowledge that Grace stole a laptop or a calculator?,
42,main,ub,10,Tina,0.63,14387,or,9,M,Paul,"Jayden solved the crossword or the Rubik's cube, and he did not solve both",know,NonProj,Does Tina know that Jayden solved the crossword or the Rubik's cube?,
42,main,lb,6,Rachel,0.8,7414,some,10,F,Carol,Jackson drank at least some of the sodas,discover,NonProj,Did Rachel discover that Jackson drank some of the sodas?,
42,main,,control6,,0.35,6568,,11,F,Dorothy,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,
42,main,lb,7,Kevin,0.33,7974,or,12,F,Kimberly,Isabella ate cake or pie or both,prove,C,Did Kevin prove that Isabella ate cake or pie?,
42,main,lb,2,Scott,0.45,42189,some,13,M,George,Josie failed at least some of the courses,establish,NonProj,Did Scott establish that Josie failed some of the courses?,
42,main,ub,3,Justin,0.36,7413,some,14,F,Sarah,"Emma stole some of the office supplies, and she did not take all of them",say,C,Did Justin say that Emma stole some of the office supplies?,
42,main,,control5,,0.32,6507,,15,F,Nancy,Madison had a baby,control,control,Did Madison have a baby?,
42,main,lb,5,Barbara,0.27,13434,some,16,F,Lisa,Frank graded at least some of the math problems,confirm,C,Did Barbara confirm that Frank graded some of the math problems?,
42,main,,control4,,0.26,5593,,17,F,Sandra,Vanessa is good at math,control,control,Is Vanessa good at math?,
42,main,ub,1,Patrick,0.53,8070,some,18,M,William,"Mary ate some of the cupcakes, and she did not eat all of them",reveal,NonProj,Did Patrick reveal that Mary ate some of the cupcakes?,
42,main,,control1,,0.28,4413,,19,F,Jessica,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,
42,main,ub,12,Melissa,0.41,9026,or,20,F,Jennifer,"Josh drank coffee or tea, and he did not drink both",think,NonProj,Does Melissa think that Josh drank coffee or tea?,
42,main,ub,4,Janice,0.5,11606,some,21,M,Christopher,"Danny solved some of the puzzles, and he did not solve all of them",hear,C,Did Janice hear that Danny solved some of the puzzles?,
34,main,lb,8,Brian,0,8801,or,4,M,James,Emily failed math or science or both,say,C,Did Brian say that Emily failed math or science?,
34,main,,control6,,0,6067,,5,M,Paul,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,
34,main,ub,9,Andrew,0,14437,or,6,M,Matthew,"Grace stole a laptop or a calculator, and she did not steal both",prove,C,Did Andrew prove that Grace stole a laptop or a calculator?,
